region,x,y,z,hemisphere,structure
Precentral_L,-38.93,-6.96,49.64,L,cortical
Precentral_R,41.1,-9.55,50.81,R,cortical
Frontal_Sup_L,-18.77,33.49,40.95,L,cortical
Frontal_Sup_R,21.6,29.91,42.5,R,cortical
Frontal_Sup_Orb_L,-16.82,45.92,-14.72,L,cortical
Frontal_Sup_Orb_R,18.18,46.62,-15.49,R,cortical
Frontal_Mid_L,-33.76,31.49,34.13,L,cortical
Frontal_Mid_R,37.39,31.75,32.81,R,cortical
Frontal_Mid_Orb_L,-30.89,49.14,-10.99,L,cortical
Frontal_Mid_Orb_R,32.89,51.27,-12.14,R,cortical
Frontal_Inf_Oper_L,-48.8,11.49,17.8,L,cortical
Frontal_Inf_Oper_R,49.93,13.68,20.2,R,cortical
Frontal_Inf_Tri_L,-45.89,28.67,12.58,L,cortical
Frontal_Inf_Tri_R,50.06,28.9,12.82,R,cortical
Frontal_Inf_Orb_L,-36.24,29.49,-13.46,L,cortical
Frontal_Inf_Orb_R,40.91,30.99,-13.26,R,cortical
Rolandic_Oper_L,-47.41,-9.78,12.64,L,cortical
Rolandic_Oper_R,52.38,-7.54,13.33,R,cortical
Supp_Motor_Area_L,-5.69,3.55,60.06,L,cortical
Supp_Motor_Area_R,8.25,-1.09,60.51,R,cortical
Olfactory_L,-8.26,13.86,-12.69,L,cortical
Olfactory_R,10.12,14.66,-12.56,R,cortical
Frontal_Sup_Medial_L,-5.17,47.89,29.64,L,cortical
Frontal_Sup_Medial_R,8.75,49.53,28.93,R,cortical
Frontal_Med_Orb_L,-5.44,52.52,-8.86,L,cortical
Frontal_Med_Orb_R,7.83,50.41,-8.52,R,cortical
Rectus_L,-5.44,35.71,-19.57,L,cortical
Rectus_R,8.0,34.45,-19.44,R,cortical
Insula_L,-35.41,5.44,2.17,L,cortical
Insula_R,38.72,5.02,0.81,R,cortical
Cingulum_Ant_L,-4.36,34.2,12.54,L,cortical
Cingulum_Ant_R,8.12,35.72,14.43,R,cortical
Cingulum_Mid_L,-5.88,-16.1,40.21,L,cortical
Cingulum_Mid_R,7.66,-10.2,38.44,R,cortical
Cingulum_Post_L,-5.21,-44.17,23.28,L,cortical
Cingulum_Post_R,7.18,-43.09,20.47,R,cortical
Hippocampus_L,-25.26,-21.96,-11.38,L,subcortical
Hippocampus_R,28.95,-20.99,-11.58,R,subcortical
ParaHippocampal_L,-21.49,-17.29,-21.92,L,cortical
ParaHippocampal_R,25.15,-16.3,-21.74,R,cortical
Amygdala_L,-23.51,-1.95,-18.45,L,subcortical
