region,x,y,z,hemisphere,structure
L_bankssts,-53.93,-44.06,7.18,L,cortical
L_caudalanteriorcingulate,-5.38,17.93,29.46,L,cortical
L_caudalmiddlefrontal,-35.05,11.45,44.95,L,cortical
L_cuneus,-7.1,-80.0,18.93,L,cortical
L_entorhinal,-24.95,-8.99,-32.94,L,cortical
L_fusiform,-34.13,-46.38,-18.43,L,cortical
L_inferiorparietal,-40.81,-65.71,30.79,L,cortical
L_inferiortemporal,-48.63,-35.02,-21.51,L,cortical
L_isthmuscingulate,-6.71,-44.89,17.99,L,cortical
L_lateraloccipital,-28.32,-88.01,1.03,L,cortical
L_lateralorbitofrontal,-23.13,31.2,-16.16,L,cortical
L_lingual,-13.95,-66.15,-4.41,L,cortical
L_medialorbitofrontal,-6.11,39.36,-14.85,L,cortical
L_middletemporal,-55.25,-29.65,-11.15,L,cortical
L_parahippocampal,-24.1,-31.81,-17.28,L,cortical
L_paracentral,-7.81,-29.37,56.46,L,cortical
L_parsopercularis,-45.22,15.99,12.26,L,cortical
L_parsorbitalis,-40.56,38.82,-12.36,L,cortical
L_parstriangularis,-43.64,31.14,1.73,L,cortical
L_pericalcarine,-10.94,-80.17,5.2,L,cortical
L_postcentral,-42.18,-24.04,44.33,L,cortical
L_posteriorcingulate,-5.22,-19.23,37.09,L,cortical
L_precentral,-37.62,-9.72,43.11,L,cortical
L_precuneus,-9.46,-57.35,37.39,L,cortical
L_rostralanteriorcingulate,-5.71,38.7,1.6,L,cortical
L_rostralmiddlefrontal,-31.93,43.7,16.84,L,cortical
L_superiorfrontal,-11.08,23.79,43.9,L,cortical
L_superiorparietal,-22.75,-60.95,49.22,L,cortical
L_superiortemporal,-51.69,-15.72,-1.65,L,cortical
L_supramarginal,-51.83,-37.08,32.21,L,cortical
L_frontalpole,-8.51,64.33,-8.47,L,cortical
L_temporalpole,-29.36,12.45,-36.06,L,cortical
L_transversetemporal,-43.43,-21.96,7.41,L,cortical
L_insula,-35.98,-2.95,1.15,L,cortical
R_bankssts,53.95,-39.71,8.65,R,cortical
R_caudalanteriorcingulate,5.69,20.72,27.48,R,cortical
R_caudalmiddlefrontal,36.62,10.93,45.26,R,cortical
R_cuneus,9.04,-80.14,20.37,R,cortical
R_entorhinal,24.79,-5.73,-34.06,R,cortical
R_fusiform,35.33,-40.75,-20.46,R,cortical
R_inferiorparietal,45.1,-59.88,30.37,R,cortical
R_inferiortemporal,50.38,-30.48,-22.81,R,cortical
R_isthmuscingulate,7.85,-43.52,17.12,R,cortical
R_lateraloccipital,31.98,-84.54,1.86,R,cortical
R_lateralorbitofrontal,24.0,31.55,-15.95,R,cortical
R_lingual,16.06,-63.66,-3.3,R,cortical
R_medialorbitofrontal,6.14,39.23,-15.11,R,cortical
R_middletemporal,56.4,-25.54,-11.52,R,cortical
R_parahippocampal,25.81,-29.6,-18.14,R,cortical
R_paracentral,8.81,-26.64,54.64,R,cortical
R_parsopercularis,47.16,15.35,13.77,R,cortical
R_parsorbitalis,42.36,41.09,-10.74,R,cortical
R_parstriangularis,46.29,31.02,4.12,R,cortical
R_pericalcarine,13.03,-78.99,6.73,R,cortical
R_postcentral,42.04,-21.43,45.68,R,cortical
R_posteriorcingulate,5.73,-17.53,36.9,R,cortical
R_precentral,38.15,-8.92,44.75,R,cortical
R_precuneus,11.08,-56.21,37.13,R,cortical
R_rostralanteriorcingulate,6.17,37.54,1.8,R,cortical
R_rostralmiddlefrontal,33.35,43.92,18.01,R,cortical
R_superiorfrontal,12.11,24.9,43.89,R,cortical
R_superiorparietal,24.33,-58.2,51.49,R,cortical
R_superiortemporal,53.35,-11.36,-3.24,R,cortical
R_supramarginal,52.93,-30.95,32.45,R,cortical
R_frontalpole,9.6,64.24,-9.76,R,cortical
R_temporalpole,30.39,13.36,-33.97,R,cortical
R_transversetemporal,45.01,-19.3,7.69,R,cortical
R_insula,37.3,-0.92,0.42,R,cortical
L_Thalamus,-10.14,-19.35,6.17,L,subcortical
L_Caudate,-12.69,9.78,9.42,L,subcortical
L_Putamen,-24.89,0.76,0.25,L,subcortical
L_Pallidum,-19.27,-4.7,-1.27,L,subcortical
L_Hippocampus,-24.85,-22.22,-14.34,L,subcortical
L_Amygdala,-22.58,-4.86,-18.14,L,subcortical
L_Accumbens,-9.51,11.44,-7.26,L,subcortical
R_Thalamus,10.89,-18.33,6.58,R,subcortical
R_Caudate,13.28,10.32,10.44,R,subcortical
R_Putamen,25.49,1.94,0.25,R,subcortical
R_Pallidum,19.98,-3.85,-1.13,R,subcortical
R_Hippocampus,26.37,-20.59,-14.67,R,subcortical
R_Amygdala,22.99,-3.7,-18.08,R,subcortical
R_Accumbens,9.48,12.1,-6.64,R,subcortical
