region,x,y,z,hemisphere,structure
L G_and_S_frontomargin,-23.35,56.7,-8.16,L,cortical
L G_and_S_occipital_inf,-37.24,-82.3,-11.96,L,cortical
L G_and_S_paracentral,-8.2,-33.42,68.84,L,cortical
L G_and_S_subcentral,-56.27,-11.32,15.58,L,cortical
L G_and_S_transv_frontopol,-14.21,63.64,-0.62,L,cortical
L G_and_S_cingul-Ant,-8.03,38.9,10.44,L,cortical
L G_and_S_cingul-Mid-Ant,-7.37,15.75,35.87,L,cortical
L G_and_S_cingul-Mid-Post,-7.89,-11.35,42.17,L,cortical
L G_cingul-Post-dorsal,-4.01,-39.19,31.92,L,cortical
L G_cingul-Post-ventral,-7.66,-48.39,6.08,L,cortical
L G_cuneus,-5.5,-81.93,18.14,L,cortical
L G_front_inf-Opercular,-50.1,11.67,10.32,L,cortical
L G_front_inf-Orbital,-44.16,30.49,-9.22,L,cortical
L G_front_inf-Triangul,-49.85,30.21,5.11,L,cortical
L G_front_middle,-38.63,27.73,35.7,L,cortical
L G_front_sup,-9.86,25.48,46.89,L,cortical
L G_Ins_lg_and_S_cent_ins,-38.48,-7.88,0.55,L,cortical
L G_insular_short,-37.05,9.67,-2.48,L,cortical
L G_occipital_middle,-39.75,-83.96,12.14,L,cortical
L G_occipital_sup,-14.85,-88.93,28.68,L,cortical
L G_oc-temp_lat-fusifor,-34.65,-53.95,-18.77,L,cortical
L G_oc-temp_med-Lingual,-10.89,-72.39,-4.81,L,cortical
L G_oc-temp_med-Parahip,-22.81,-18.84,-24.54,L,cortical
L G_orbital,-27.92,34.28,-16.82,L,cortical
L G_pariet_inf-Angular,-42.94,-67.1,37.59,L,cortical
L G_pariet_inf-Supramar,-55.88,-36.8,31.77,L,cortical
L G_parietal_sup,-21.44,-60.61,58.77,L,cortical
L G_postcentral,-44.62,-24.77,54.73,L,cortical
L G_precentral,-42.82,-8.89,51.18,L,cortical
L G_precuneus,-6.1,-57.67,41.72,L,cortical
L G_rectus,-5.06,38.35,-19.08,L,cortical
L G_subcallosal,-4.12,14.83,-9.07,L,cortical
L G_temp_sup-G_T_transv,-47.51,-19.41,7.08,L,cortical
L G_temp_sup-Lateral,-58.22,-11.69,-4.9,L,cortical
L G_temp_sup-Plan_polar,-40.47,4.12,-19.59,L,cortical
L G_temp_sup-Plan_tempo,-57.24,-37.81,17.53,L,cortical
L G_temporal_inf,-51.55,-34.4,-25.64,L,cortical
L G_temporal_middle,-59.93,-30.52,-12.25,L,cortical
L Lat_Fis-ant-Horizont,-37.94,31.69,-1.57,L,cortical
L Lat_Fis-ant-Vertical,-43.26,21.45,8.09,L,cortical
L Lat_Fis-post,-40.66,-33.73,17.74,L,cortical
L Pole_occipital,-18.34,-98.38,-2.71,L,cortical
L Pole_temporal,-34.4,6.99,-36.89,L,cortical
L S_calcarine,-16.33,-67.09,5.54,L,cortical
L S_central,-36.29,-20.44,46.13,L,cortical
L S_cingul-Marginalis,-13.84,-36.85,47.93,L,cortical
L S_circular_insula_ant,-29.91,21.72,-8.51,L,cortical
L S_circular_insula_inf,-40.91,-12.55,-6.58,L,cortical
