region,x,y,z,network,hemisphere,structure
inf cerebellum 155,18.0,-81.0,-33.0,cerebellum,R,cerebellum
inf cerebellum 150,-21.0,-79.0,-33.0,cerebellum,L,cerebellum
inf cerebellum 151,-6.0,-79.0,-33.0,cerebellum,L,cerebellum
inf cerebellum 140,33.0,-73.0,-30.0,cerebellum,R,cerebellum
inf cerebellum 131,-34.0,-67.0,-29.0,cerebellum,L,cerebellum
inf cerebellum 122,32.0,-61.0,-31.0,cerebellum,R,cerebellum
inf cerebellum 121,-25.0,-60.0,-34.0,cerebellum,L,cerebellum
inf cerebellum 110,-37.0,-54.0,-37.0,cerebellum,L,cerebellum
lat cerebellum 128,21.0,-64.0,-22.0,cerebellum,R,cerebellum
lat cerebellum 113,-34.0,-57.0,-24.0,cerebellum,L,cerebellum
lat cerebellum 109,-24.0,-54.0,-21.0,cerebellum,L,cerebellum
lat cerebellum 98,-28.0,-44.0,-25.0,cerebellum,L,cerebellum
med cerebellum 143,5.0,-75.0,-11.0,cerebellum,R,cerebellum
med cerebellum 144,14.0,-75.0,-21.0,cerebellum,R,cerebellum
med cerebellum 138,-11.0,-72.0,-14.0,cerebellum,L,cerebellum
med cerebellum 130,1.0,-66.0,-24.0,cerebellum,M,cerebellum
med cerebellum 127,-16.0,-64.0,-21.0,cerebellum,L,cerebellum
med cerebellum 120,-6.0,-60.0,-15.0,cerebellum,L,cerebellum
ACC 19,-2.0,30.0,27.0,cingulo-opercular,L,cortical
TPJ 125,-52.0,-63.0,15.0,cingulo-opercular,L,cortical
aPFC 8,27.0,49.0,26.0,cingulo-opercular,R,cortical
angular gyrus 102,-41.0,-47.0,29.0,cingulo-opercular,L,cortical
ant insula 28,-36.0,18.0,2.0,cingulo-opercular,L,cortical
ant insula 26,38.0,21.0,-1.0,cingulo-opercular,R,cortical
basal ganglia 71,11.0,-24.0,2.0,cingulo-opercular,R,cortical
basal ganglia 38,-20.0,6.0,7.0,cingulo-opercular,L,cortical
basal ganglia 39,14.0,6.0,7.0,cingulo-opercular,R,cortical
basal ganglia 30,-6.0,17.0,34.0,cingulo-opercular,L,cortical
dACC 27,9.0,20.0,34.0,cingulo-opercular,R,cortical
fusiform 81,54.0,-31.0,-18.0,cingulo-opercular,R,cortical
mFC 31,0.0,15.0,45.0,cingulo-opercular,M,cortical
mid insula 61,-30.0,-14.0,1.0,cingulo-opercular,L,cortical
mid insula 59,32.0,-12.0,2.0,cingulo-opercular,R,cortical
mid insula 44,37.0,-2.0,-3.0,cingulo-opercular,R,cortical
parietal 97,-55.0,-44.0,30.0,cingulo-opercular,L,cortical
parietal 89,58.0,-41.0,20.0,cingulo-opercular,R,cortical
post cingulate 80,-4.0,-31.0,-4.0,cingulo-opercular,L,cortical
post insula 76,-30.0,-28.0,9.0,cingulo-opercular,L,cortical
