region,x,y,z,hemisphere,structure
L_V1,-10.08,-84.16,1.76,L,cortical
L_MST,-44.74,-67.29,11.76,L,cortical
L_V6,-15.1,-79.08,30.84,L,cortical
L_V2,-12.04,-82.06,4.03,L,cortical
L_V3,-16.61,-84.79,7.26,L,cortical
L_V4,-29.56,-86.01,-1.54,L,cortical
L_V8,-30.1,-75.98,-13.12,L,cortical
L_4,-26.48,-20.2,55.71,L,cortical
L_3b,-38.47,-22.81,53.64,L,cortical
L_FEF,-40.68,-5.6,52.37,L,cortical
L_PEF,-47.85,-0.49,40.07,L,cortical
L_55b,-48.47,-1.07,50.09,L,cortical
L_V3A,-15.33,-90.38,27.93,L,cortical
L_RSC,-5.24,-34.15,21.88,L,cortical
L_POS2,-9.3,-72.12,36.16,L,cortical
L_V7,-24.52,-86.38,29.85,L,cortical
L_IPS1,-24.46,-74.78,38.05,L,cortical
L_FFC,-42.48,-61.12,-18.09,L,cortical
L_V3B,-27.17,-81.72,17.57,L,cortical
L_LO1,-39.16,-82.23,8.08,L,cortical
L_LO2,-45.7,-85.95,1.89,L,cortical
L_PIT,-43.9,-84.37,-10.67,L,cortical
L_MT,-43.33,-70.25,14.46,L,cortical
L_A1,-43.54,-25.25,12.21,L,cortical
L_PSL,-58.25,-45.72,25.77,L,cortical
L_SFL,-8.38,16.01,63.95,L,cortical
L_PCV,-6.35,-51.38,48.13,L,cortical
L_STV,-62.52,-49.16,17.96,L,cortical
L_7Pm,-4.33,-69.44,50.78,L,cortical
L_7m,-4.03,-63.53,34.92,L,cortical
L_POS1,-11.1,-58.84,14.0,L,cortical
L_23d,-3.28,-18.78,39.73,L,cortical
L_v23ab,-3.85,-56.49,18.92,L,cortical
L_d23ab,-3.33,-41.71,31.89,L,cortical
L_31pv,-10.25,-45.97,32.45,L,cortical
L_5m,-7.09,-40.62,61.16,L,cortical
L_5mv,-13.62,-37.36,49.97,L,cortical
L_23c,-11.24,-30.14,42.91,L,cortical
L_5L,-15.21,-48.75,71.5,L,cortical
L_24dd,-6.64,-13.59,49.52,L,cortical
L_24dv,-8.68,0.72,43.99,L,cortical
