region,x,y,z,hemisphere,structure
Left Frontal Pole,-24.96,53.0,7.53,L,cortical
Right Frontal Pole,26.12,52.2,8.2,R,cortical
Left Insular Cortex,-36.71,1.44,-0.17,L,cortical
Right Insular Cortex,37.56,2.57,-0.33,R,cortical
Left Superior Frontal Gyrus,-14.2,18.77,56.65,L,cortical
Right Superior Frontal Gyrus,14.7,18.87,57.13,R,cortical
Left Middle Frontal Gyrus,-38.32,18.59,42.34,L,cortical
Right Middle Frontal Gyrus,39.37,18.76,43.03,R,cortical
"Left Inferior Frontal Gyrus, pars triangularis",-49.99,28.57,8.8,L,cortical
"Right Inferior Frontal Gyrus, pars triangularis",52.31,28.0,7.76,R,cortical
"Left Inferior Frontal Gyrus, pars opercularis",-50.93,14.75,15.31,L,cortical
"Right Inferior Frontal Gyrus, pars opercularis",52.41,15.48,16.15,R,cortical
Left Precentral Gyrus,-34.28,-11.5,49.3,L,cortical
Right Precentral Gyrus,34.85,-10.59,50.23,R,cortical
Left Temporal Pole,-40.63,11.14,-29.7,L,cortical
Right Temporal Pole,40.7,13.07,-29.83,R,cortical
"Left Superior Temporal Gyrus, anterior division",-56.19,-3.65,-8.32,L,cortical
"Right Superior Temporal Gyrus, anterior division",57.67,-0.51,-10.24,R,cortical
"Left Superior Temporal Gyrus, posterior division",-60.65,-27.36,2.36,L,cortical
"Right Superior Temporal Gyrus, posterior division",60.31,-23.29,1.58,R,cortical
"Left Middle Temporal Gyrus, anterior division",-57.61,-4.04,-22.35,L,cortical
"Right Middle Temporal Gyrus, anterior division",57.91,-1.31,-24.7,R,cortical
"Left Middle Temporal Gyrus, posterior division",-61.31,-27.29,-11.54,L,cortical
"Right Middle Temporal Gyrus, posterior division",61.49,-22.39,-12.78,R,cortical
"Left Middle Temporal Gyrus, temporooccipital part",-57.84,-53.07,0.83,L,cortical
"Right Middle Temporal Gyrus, temporooccipital part",58.41,-49.16,1.54,R,cortical
"Left Inferior Temporal Gyrus, anterior division",-48.29,-5.08,-39.35,L,cortical
"Right Inferior Temporal Gyrus, anterior division",46.33,-2.39,-41.26,R,cortical
"Left Inferior Temporal Gyrus, posterior division",-53.66,-28.61,-26.02,L,cortical
"Right Inferior Temporal Gyrus, posterior division",53.59,-23.44,-28.26,R,cortical
"Left Inferior Temporal Gyrus, temporooccipital part",-51.94,-53.48,-16.6,L,cortical
"Right Inferior Temporal Gyrus, temporooccipital part",54.24,-49.85,-16.81,R,cortical
Left Postcentral Gyrus,-38.55,-27.75,51.85,L,cortical
Right Postcentral Gyrus,38.0,-26.17,52.56,R,cortical
Left Superior Parietal Lobule,-29.38,-49.55,57.65,L,cortical
Right Superior Parietal Lobule,29.29,-47.77,59.08,R,cortical
"Left Supramarginal Gyrus, anterior division",-56.93,-32.79,37.3,L,cortical
"Right Supramarginal Gyrus, anterior division",58.55,-27.11,37.92,R,cortical
"Left Supramarginal Gyrus, posterior division",-54.87,-46.2,33.44,L,cortical
"Right Supramarginal Gyrus, posterior division",55.29,-40.47,33.82,R,cortical
Left Angular Gyrus,-50.39,-55.68,29.97,L,cortical
Right Angular Gyrus,52.05,-51.83,32.37,R,cortical
"Left Lateral Occipital Cortex, superior division",-32.16,-72.88,38.02,L,cortical
"Right Lateral Occipital Cortex, superior division",33.04,-71.11,38.98,R,cortical
"Left Lateral Occipital Cortex, inferior division",-45.18,-75.62,-2.0,L,cortical
