region,x,y,z,hemisphere,structure
Power_1,-25.0,-98.0,-12.0,L,cortical
Power_2,27.0,-97.0,-13.0,R,cortical
Power_3,24.0,32.0,-18.0,R,cortical
Power_4,-56.0,-45.0,-24.0,L,cortical
Power_5,8.0,41.0,-24.0,R,cortical
Power_6,-21.0,-22.0,-20.0,L,cortical
Power_7,17.0,-28.0,-17.0,R,cortical
Power_8,-37.0,-29.0,-26.0,L,cortical
Power_9,65.0,-24.0,-19.0,R,cortical
Power_10,52.0,-34.0,-27.0,R,cortical
Power_11,55.0,-31.0,-17.0,R,cortical
Power_12,34.0,38.0,-12.0,R,cortical
Power_13,-7.0,-52.0,61.0,L,cortical
Power_14,-14.0,-18.0,40.0,L,cortical
Power_15,0.0,-15.0,47.0,M,cortical
Power_16,10.0,-2.0,45.0,R,cortical
Power_17,-7.0,-21.0,65.0,L,cortical
Power_18,-7.0,-33.0,72.0,L,cortical
Power_19,13.0,-33.0,75.0,R,cortical
Power_20,-54.0,-23.0,43.0,L,cortical
Power_21,29.0,-17.0,71.0,R,cortical
Power_22,10.0,-46.0,73.0,R,cortical
Power_23,-23.0,-30.0,72.0,L,cortical
Power_24,-40.0,-19.0,54.0,L,cortical
Power_25,29.0,-39.0,59.0,R,cortical
Power_26,50.0,-20.0,42.0,R,cortical
Power_27,-38.0,-27.0,69.0,L,cortical
Power_28,20.0,-29.0,60.0,R,cortical
Power_29,44.0,-8.0,57.0,R,cortical
Power_30,-29.0,-43.0,61.0,L,cortical
Power_31,10.0,-17.0,74.0,R,cortical
Power_32,22.0,-42.0,69.0,R,cortical
Power_33,-45.0,-32.0,47.0,L,cortical
Power_34,-21.0,-31.0,61.0,L,cortical
Power_35,-13.0,-17.0,75.0,L,cortical
Power_36,42.0,-20.0,55.0,R,cortical
Power_37,-38.0,-15.0,69.0,L,cortical
Power_38,-16.0,-46.0,73.0,L,cortical
Power_39,2.0,-28.0,60.0,R,cortical
Power_40,3.0,-17.0,58.0,R,cortical
Power_41,38.0,-17.0,45.0,R,cortical
Power_42,-49.0,-11.0,35.0,L,cortical
Power_43,36.0,-9.0,14.0,R,cortical
Power_44,51.0,-6.0,32.0,R,cortical
Power_45,-53.0,-10.0,24.0,L,cortical
Power_46,66.0,-8.0,25.0,R,cortical
Power_47,-3.0,2.0,53.0,L,cortical
Power_48,54.0,-28.0,34.0,R,cortical
Power_49,19.0,-8.0,64.0,R,cortical
Power_50,-16.0,-5.0,71.0,L,cortical
Power_51,-10.0,-2.0,42.0,L,cortical
Power_52,37.0,1.0,-4.0,R,cortical
Power_53,13.0,-1.0,70.0,R,cortical
Power_54,7.0,8.0,51.0,R,cortical
Power_55,-45.0,0.0,9.0,L,cortical
Power_56,49.0,8.0,-1.0,R,cortical
Power_57,-34.0,3.0,4.0,L,cortical
Power_58,-51.0,8.0,-2.0,L,cortical
Power_59,-5.0,18.0,34.0,L,cortical
Power_60,36.0,10.0,1.0,R,cortical
Power_61,32.0,-26.0,13.0,R,cortical
Power_62,65.0,-33.0,20.0,R,cortical
Power_63,58.0,-16.0,7.0,R,cortical
Power_64,-38.0,-33.0,17.0,L,cortical
Power_65,-60.0,-25.0,14.0,L,cortical
Power_66,-49.0,-26.0,5.0,L,cortical
Power_67,43.0,-23.0,20.0,R,cortical
Power_68,-50.0,-34.0,26.0,L,cortical
Power_69,-53.0,-22.0,23.0,L,cortical
Power_70,-55.0,-9.0,12.0,L,cortical
Power_71,56.0,-5.0,13.0,R,cortical
Power_72,59.0,-17.0,29.0,R,cortical
Power_73,-30.0,-27.0,12.0,L,cortical
Power_74,-41.0,-75.0,26.0,L,cortical
Power_75,6.0,67.0,-4.0,R,cortical
Power_76,8.0,48.0,-15.0,R,cortical
Power_77,-13.0,-40.0,1.0,L,cortical
Power_78,-18.0,63.0,-9.0,L,cortical
Power_79,-46.0,-61.0,21.0,L,cortical
Power_80,43.0,-72.0,28.0,R,cortical
Power_81,-44.0,12.0,-34.0,L,cortical
Power_82,46.0,16.0,-30.0,R,cortical
Power_83,-68.0,-23.0,-16.0,L,cortical
Power_84,-58.0,-26.0,-15.0,L,cortical
Power_85,27.0,16.0,-17.0,R,cortical
Power_86,-44.0,-65.0,35.0,L,cortical
Power_87,-39.0,-75.0,44.0,L,cortical
Power_88,-7.0,-55.0,27.0,L,cortical
Power_89,6.0,-59.0,35.0,R,cortical
Power_90,-11.0,-56.0,16.0,L,cortical
Power_91,-3.0,-49.0,13.0,L,cortical
Power_92,8.0,-48.0,31.0,R,cortical
Power_93,15.0,-63.0,26.0,R,cortical
Power_94,-2.0,-37.0,44.0,L,cortical
Power_95,11.0,-54.0,17.0,R,cortical
Power_96,52.0,-59.0,36.0,R,cortical
Power_97,23.0,33.0,48.0,R,cortical
Power_98,-10.0,39.0,52.0,L,cortical
Power_99,-16.0,29.0,53.0,L,cortical
Power_100,-35.0,20.0,51.0,L,cortical
Power_101,22.0,39.0,39.0,R,cortical
Power_102,13.0,55.0,38.0,R,cortical
Power_103,-10.0,55.0,39.0,L,cortical
Power_104,-20.0,45.0,39.0,L,cortical
Power_105,6.0,54.0,16.0,R,cortical
Power_106,6.0,64.0,22.0,R,cortical
Power_107,-7.0,51.0,-1.0,L,cortical
Power_108,9.0,54.0,3.0,R,cortical
Power_109,-3.0,44.0,-9.0,L,cortical
Power_110,8.0,42.0,-5.0,R,cortical
Power_111,-11.0,45.0,8.0,L,cortical
Power_112,-2.0,38.0,36.0,L,cortical
Power_113,-3.0,42.0,16.0,L,cortical
Power_114,-20.0,64.0,19.0,L,cortical
Power_115,-8.0,48.0,23.0,L,cortical
Power_116,65.0,-12.0,-19.0,R,cortical
Power_117,-56.0,-13.0,-10.0,L,cortical
Power_118,-58.0,-30.0,-4.0,L,cortical
Power_119,65.0,-31.0,-9.0,R,cortical
Power_120,-68.0,-41.0,-5.0,L,cortical
Power_121,13.0,30.0,59.0,R,cortical
Power_122,12.0,36.0,20.0,R,cortical
Power_123,52.0,-2.0,-16.0,R,cortical
Power_124,-26.0,-40.0,-8.0,L,cortical
Power_125,27.0,-37.0,-13.0,R,cortical
Power_126,-34.0,-38.0,-16.0,L,cortical
Power_127,28.0,-77.0,-32.0,R,cortical
Power_128,52.0,7.0,-30.0,R,cortical
Power_129,-53.0,3.0,-27.0,L,cortical
Power_130,47.0,-50.0,29.0,R,cortical
Power_131,-49.0,-42.0,1.0,L,cortical
Power_132,-31.0,19.0,-19.0,L,cortical
Power_133,-2.0,-35.0,31.0,L,cortical
Power_134,-7.0,-71.0,42.0,L,cortical
Power_135,11.0,-66.0,42.0,R,cortical
Power_136,4.0,-48.0,51.0,R,cortical
Power_137,-46.0,31.0,-13.0,L,cortical
Power_138,-10.0,11.0,67.0,L,cortical
Power_139,49.0,35.0,-12.0,R,cortical
Power_140,8.0,-91.0,-7.0,R,cortical
Power_141,17.0,-91.0,-14.0,R,cortical
Power_142,-12.0,-95.0,-13.0,L,cortical
Power_143,18.0,-47.0,-10.0,R,cortical
Power_144,40.0,-72.0,14.0,R,cortical
Power_145,8.0,-72.0,11.0,R,cortical
Power_146,-8.0,-81.0,7.0,L,cortical
Power_147,-28.0,-79.0,19.0,L,cortical
Power_148,20.0,-66.0,2.0,R,cortical
Power_149,-24.0,-91.0,19.0,L,cortical
Power_150,27.0,-59.0,-9.0,R,cortical
Power_151,-15.0,-72.0,-8.0,L,cortical
Power_152,-18.0,-68.0,5.0,L,cortical
Power_153,43.0,-78.0,-12.0,R,cortical
Power_154,-47.0,-76.0,-10.0,L,cortical
Power_155,-14.0,-91.0,31.0,L,cortical
Power_156,15.0,-87.0,37.0,R,cortical
Power_157,29.0,-77.0,25.0,R,cortical
Power_158,20.0,-86.0,-2.0,R,cortical
Power_159,15.0,-77.0,31.0,R,cortical
Power_160,-16.0,-52.0,-1.0,L,cortical
Power_161,42.0,-66.0,-8.0,R,cortical
Power_162,24.0,-87.0,24.0,R,cortical
Power_163,6.0,-72.0,24.0,R,cortical
Power_164,-42.0,-74.0,0.0,L,cortical
Power_165,26.0,-79.0,-16.0,R,cortical
Power_166,-16.0,-77.0,34.0,L,cortical
Power_167,-3.0,-81.0,21.0,L,cortical
Power_168,-40.0,-88.0,-6.0,L,cortical
Power_169,37.0,-84.0,13.0,R,cortical
Power_170,6.0,-81.0,6.0,R,cortical
Power_171,-26.0,-90.0,3.0,L,cortical
Power_172,-33.0,-79.0,-13.0,L,cortical
Power_173,37.0,-81.0,1.0,R,cortical
Power_174,-44.0,2.0,46.0,L,cortical
Power_175,48.0,25.0,27.0,R,cortical
Power_176,-47.0,11.0,23.0,L,cortical
Power_177,-53.0,-49.0,43.0,L,cortical
Power_178,-23.0,11.0,64.0,L,cortical
Power_179,58.0,-53.0,-14.0,R,cortical
Power_180,24.0,45.0,-15.0,R,cortical
Power_181,34.0,54.0,-13.0,R,cortical
Power_182,-21.0,41.0,-20.0,L,cortical
Power_183,-18.0,-76.0,-24.0,L,cortical
Power_184,17.0,-80.0,-34.0,R,cortical
Power_185,35.0,-67.0,-34.0,R,cortical
Power_186,47.0,10.0,33.0,R,cortical
Power_187,-41.0,6.0,33.0,L,cortical
Power_188,-42.0,38.0,21.0,L,cortical
Power_189,38.0,43.0,15.0,R,cortical
Power_190,49.0,-42.0,45.0,R,cortical
Power_191,-28.0,-58.0,48.0,L,cortical
Power_192,44.0,-53.0,47.0,R,cortical
Power_193,32.0,14.0,56.0,R,cortical
Power_194,37.0,-65.0,40.0,R,cortical
Power_195,-42.0,-55.0,45.0,L,cortical
Power_196,40.0,18.0,40.0,R,cortical
Power_197,-34.0,55.0,4.0,L,cortical
Power_198,-42.0,45.0,-2.0,L,cortical
Power_199,33.0,-53.0,44.0,R,cortical
Power_200,43.0,49.0,-2.0,R,cortical
Power_201,-42.0,25.0,30.0,L,cortical
Power_202,-3.0,26.0,44.0,L,cortical
Power_203,11.0,-39.0,50.0,R,cortical
Power_204,55.0,-45.0,37.0,R,cortical
Power_205,42.0,0.0,47.0,R,cortical
Power_206,31.0,33.0,26.0,R,cortical
Power_207,48.0,22.0,10.0,R,cortical
Power_208,-35.0,20.0,0.0,L,cortical
Power_209,36.0,22.0,3.0,R,cortical
Power_210,37.0,32.0,-2.0,R,cortical
Power_211,34.0,16.0,-8.0,R,cortical
Power_212,-11.0,26.0,25.0,L,cortical
Power_213,-1.0,15.0,44.0,M,cortical
Power_214,-28.0,52.0,21.0,L,cortical
Power_215,0.0,30.0,27.0,M,cortical
Power_216,5.0,23.0,37.0,R,cortical
Power_217,10.0,22.0,27.0,R,cortical
Power_218,31.0,56.0,14.0,R,cortical
Power_219,26.0,50.0,27.0,R,cortical
Power_220,-39.0,51.0,17.0,L,cortical
Power_221,2.0,-24.0,30.0,R,cortical
Power_222,6.0,-24.0,0.0,R,cortical
Power_223,-2.0,-13.0,12.0,L,cortical
Power_224,-10.0,-18.0,7.0,L,cortical
Power_225,12.0,-17.0,8.0,R,cortical
Power_226,-5.0,-28.0,-4.0,L,cortical
Power_227,-22.0,7.0,-5.0,L,cortical
