region,x,y,z,network,hemisphere,structure
17Networks_LH_VisCent_ExStr_1,-36.0,-62.0,-17.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_2,-23.0,-73.0,-10.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_3,-36.0,-81.0,-16.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_4,-17.0,-86.0,-15.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_5,-24.0,-97.0,-12.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_6,-41.0,-87.0,-3.0,VisCent,L,cortical
17Networks_LH_VisCent_Striate_1,-7.0,-98.0,-7.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_7,-46.0,-73.0,6.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_8,-24.0,-96.0,6.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_9,-39.0,-84.0,14.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_10,-11.0,-97.0,17.0,VisCent,L,cortical
17Networks_LH_VisCent_ExStr_11,-25.0,-85.0,21.0,VisCent,L,cortical
17Networks_LH_VisPeri_ExStrInf_1,-24.0,-55.0,-8.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_2,-12.0,-62.0,-5.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_3,-7.0,-76.0,-6.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_4,-13.0,-43.0,-5.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrInf_5,-14.0,-57.0,1.0,VisPeri,L,cortical
17Networks_LH_VisPeri_StriCal_1,-5.0,-88.0,2.0,VisPeri,L,cortical
17Networks_LH_VisPeri_StriCal_2,-7.0,-74.0,9.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_1,-19.0,-65.0,7.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_2,-3.0,-84.0,24.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_3,-12.0,-71.0,20.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_4,-16.0,-89.0,33.0,VisPeri,L,cortical
17Networks_LH_VisPeri_ExStrSup_5,-12.0,-81.0,36.0,VisPeri,L,cortical
17Networks_LH_SomMotA_1,-8.0,-15.0,47.0,SomMotA,L,cortical
17Networks_LH_SomMotA_2,-41.0,-14.0,47.0,SomMotA,L,cortical
17Networks_LH_SomMotA_3,-49.0,-17.0,54.0,SomMotA,L,cortical
17Networks_LH_SomMotA_4,-48.0,-29.0,58.0,SomMotA,L,cortical
17Networks_LH_SomMotA_5,-39.0,-25.0,53.0,SomMotA,L,cortical
17Networks_LH_SomMotA_6,-9.0,-38.0,54.0,SomMotA,L,cortical
17Networks_LH_SomMotA_7,-4.0,-25.0,56.0,SomMotA,L,cortical
17Networks_LH_SomMotA_8,-4.0,-9.0,59.0,SomMotA,L,cortical
17Networks_LH_SomMotA_9,-36.0,-19.0,65.0,SomMotA,L,cortical
17Networks_LH_SomMotA_10,-32.0,-29.0,63.0,SomMotA,L,cortical
17Networks_LH_SomMotA_11,-30.0,-38.0,65.0,SomMotA,L,cortical
17Networks_LH_SomMotA_12,-23.0,-11.0,65.0,SomMotA,L,cortical
17Networks_LH_SomMotA_13,-19.0,-24.0,67.0,SomMotA,L,cortical
17Networks_LH_SomMotA_14,-9.0,-42.0,70.0,SomMotA,L,cortical
17Networks_LH_SomMotA_15,-4.0,-25.0,69.0,SomMotA,L,cortical
17Networks_LH_SomMotA_16,-14.0,-11.0,73.0,SomMotA,L,cortical
17Networks_LH_SomMotA_17,-19.0,-31.0,69.0,SomMotA,L,cortical
17Networks_LH_SomMotA_18,-19.0,-40.0,72.0,SomMotA,L,cortical
17Networks_LH_SomMotA_19,-12.0,-27.0,73.0,SomMotA,L,cortical
17Networks_LH_SomMotB_Aud_1,-50.0,-9.0,0.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Aud_2,-56.0,-22.0,8.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Ins_1,-36.0,-24.0,10.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_1,-38.0,-9.0,13.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_2,-36.0,-26.0,19.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Aud_3,-59.0,-37.0,16.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Aud_4,-41.0,-35.0,14.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_3,-49.0,-13.0,14.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_4,-60.0,-2.0,11.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_5,-48.0,-24.0,18.0,SomMotB,L,cortical
17Networks_LH_SomMotB_S2_6,-61.0,-18.0,19.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_1,-59.0,-2.0,23.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_2,-63.0,-10.0,31.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_3,-53.0,-9.0,30.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_4,-51.0,-7.0,43.0,SomMotB,L,cortical
17Networks_LH_SomMotB_Cent_5,-48.0,-16.0,40.0,SomMotB,L,cortical
17Networks_LH_DorsAttnA_TempOcc_1,-45.0,-42.0,-21.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_TempOcc_2,-33.0,-42.0,-21.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_TempOcc_3,-49.0,-56.0,-15.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_TempOcc_4,-45.0,-70.0,-8.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_ParOcc_1,-48.0,-65.0,15.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_ParOcc_2,-32.0,-84.0,27.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_1,-26.0,-70.0,31.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_2,-21.0,-79.0,45.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_3,-23.0,-65.0,46.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_4,-29.0,-58.0,50.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_5,-36.0,-52.0,56.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_6,-15.0,-71.0,57.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnA_SPL_7,-29.0,-61.0,62.0,DorsAttnA,L,cortical
17Networks_LH_DorsAttnB_PostC_1,-61.0,-23.0,33.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_2,-55.0,-20.0,41.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_3,-55.0,-32.0,45.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_4,-46.0,-29.0,44.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_5,-39.0,-37.0,49.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_6,-30.0,-46.0,63.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_7,-7.0,-59.0,63.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_8,-20.0,-57.0,66.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PostC_9,-13.0,-50.0,72.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_FEF_1,-40.0,-3.0,51.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_FEF_2,-25.0,-1.0,55.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_FEF_3,-30.0,-8.0,52.0,DorsAttnB,L,cortical
17Networks_LH_DorsAttnB_PrCv_1,-50.0,3.0,38.0,DorsAttnB,L,cortical
17Networks_LH_SalVentAttnA_ParOper_1,-55.0,-32.0,22.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParOper_2,-58.0,-44.0,27.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParOper_3,-61.0,-36.0,33.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_1,-39.0,2.0,-4.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_2,-40.0,-15.0,-2.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_3,-33.0,19.0,8.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_Ins_4,-36.0,4.0,11.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrOper_1,-50.0,1.0,5.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrOper_2,-52.0,9.0,13.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParMed_1,-11.0,-27.0,41.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParMed_2,-13.0,-41.0,47.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_ParMed_3,-6.0,-49.0,57.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_1,-7.0,0.0,41.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_2,-5.0,9.0,48.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnA_FrMed_3,-8.0,-3.0,71.0,SalVentAttnA,L,cortical
17Networks_LH_SalVentAttnB_PFCl_1,-38.0,49.0,11.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCl_2,-29.0,43.0,30.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCl_3,-36.0,32.0,38.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_Ins_1,-34.0,16.0,-8.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_Ins_2,-33.0,25.0,-1.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_Ins_3,-43.0,12.0,2.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_OFC_1,-27.0,49.0,-14.0,SalVentAttnB,L,cortical
17Networks_LH_SalVentAttnB_PFCmp_1,-6.0,22.0,31.0,SalVentAttnB,L,cortical
17Networks_LH_LimbicB_OFC_1,-12.0,25.0,-21.0,LimbicB,L,cortical
17Networks_LH_LimbicB_OFC_2,-24.0,23.0,-20.0,LimbicB,L,cortical
17Networks_LH_LimbicB_OFC_3,-10.0,47.0,-21.0,LimbicB,L,cortical
17Networks_LH_LimbicB_OFC_4,-4.0,23.0,-19.0,LimbicB,L,cortical
17Networks_LH_LimbicB_OFC_5,-15.0,65.0,-8.0,LimbicB,L,cortical
17Networks_LH_LimbicA_TempPole_1,-37.0,-5.0,-42.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_2,-25.0,6.0,-39.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_3,-26.0,-9.0,-33.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_4,-54.0,-21.0,-31.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_5,-40.0,-21.0,-27.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_6,-32.0,12.0,-29.0,LimbicA,L,cortical
17Networks_LH_LimbicA_TempPole_7,-44.0,5.0,-17.0,LimbicA,L,cortical
17Networks_LH_ContA_Temp_1,-55.0,-62.0,-1.0,ContA,L,cortical
17Networks_LH_ContA_IPS_1,-29.0,-74.0,42.0,ContA,L,cortical
17Networks_LH_ContA_IPS_2,-58.0,-42.0,45.0,ContA,L,cortical
17Networks_LH_ContA_IPS_3,-35.0,-62.0,48.0,ContA,L,cortical
17Networks_LH_ContA_IPS_4,-45.0,-41.0,47.0,ContA,L,cortical
17Networks_LH_ContA_IPS_5,-33.0,-46.0,41.0,ContA,L,cortical
17Networks_LH_ContA_PFCd_1,-21.0,5.0,65.0,ContA,L,cortical
17Networks_LH_ContA_PFClv_1,-48.0,35.0,10.0,ContA,L,cortical
17Networks_LH_ContA_PFClv_2,-42.0,38.0,22.0,ContA,L,cortical
17Networks_LH_ContA_PFCl_1,-49.0,6.0,26.0,ContA,L,cortical
17Networks_LH_ContA_PFCl_2,-45.0,20.0,27.0,ContA,L,cortical
17Networks_LH_ContA_PFCl_3,-39.0,7.0,34.0,ContA,L,cortical
17Networks_LH_ContA_Cingm_1,-3.0,5.0,29.0,ContA,L,cortical
17Networks_LH_ContB_Temp_1,-60.0,-36.0,-18.0,ContB,L,cortical
17Networks_LH_ContB_Temp_2,-60.0,-49.0,-10.0,ContB,L,cortical
17Networks_LH_ContB_IPL_1,-49.0,-60.0,47.0,ContB,L,cortical
17Networks_LH_ContB_IPL_2,-53.0,-50.0,45.0,ContB,L,cortical
17Networks_LH_ContB_IPL_3,-42.0,-52.0,49.0,ContB,L,cortical
17Networks_LH_ContB_PFCd_1,-30.0,14.0,57.0,ContB,L,cortical
17Networks_LH_ContB_PFClv_1,-42.0,49.0,-6.0,ContB,L,cortical
17Networks_LH_ContB_PFClv_2,-28.0,58.0,-1.0,ContB,L,cortical
17Networks_LH_ContB_PFClv_3,-28.0,57.0,13.0,ContB,L,cortical
17Networks_LH_ContB_PFCmp_1,-4.0,28.0,47.0,ContB,L,cortical
17Networks_LH_ContC_pCun_1,-10.0,-70.0,32.0,ContC,L,cortical
17Networks_LH_ContC_pCun_2,-9.0,-77.0,45.0,ContC,L,cortical
17Networks_LH_ContC_pCun_3,-5.0,-64.0,52.0,ContC,L,cortical
17Networks_LH_ContC_Cingp_1,-6.0,-41.0,24.0,ContC,L,cortical
17Networks_LH_ContC_Cingp_2,-4.0,-22.0,29.0,ContC,L,cortical
17Networks_LH_DefaultA_IPL_1,-47.0,-64.0,31.0,DefaultA,L,cortical
17Networks_LH_DefaultA_IPL_2,-41.0,-72.0,43.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCd_1,-25.0,28.0,43.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCd_2,-18.0,36.0,48.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCd_3,-22.0,20.0,52.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_1,-4.0,-53.0,20.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_2,-5.0,-60.0,30.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_3,-7.0,-44.0,32.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_4,-4.0,-34.0,38.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_5,-3.0,-15.0,37.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_6,-3.0,-68.0,41.0,DefaultA,L,cortical
17Networks_LH_DefaultA_pCunPCC_7,-7.0,-51.0,43.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCm_1,-5.0,55.0,-10.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCm_2,-6.0,35.0,-9.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCm_3,-6.0,59.0,7.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCm_4,-6.0,45.0,6.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCm_5,-16.0,67.0,8.0,DefaultA,L,cortical
17Networks_LH_DefaultA_PFCm_6,-5.0,34.0,21.0,DefaultA,L,cortical
17Networks_LH_DefaultB_Temp_1,-44.0,13.0,-34.0,DefaultB,L,cortical
17Networks_LH_DefaultB_Temp_2,-54.0,-2.0,-30.0,DefaultB,L,cortical
17Networks_LH_DefaultB_Temp_3,-62.0,-18.0,-21.0,DefaultB,L,cortical
17Networks_LH_DefaultB_Temp_4,-57.0,-9.0,-14.0,DefaultB,L,cortical
17Networks_LH_DefaultB_Temp_5,-61.0,-35.0,-3.0,DefaultB,L,cortical
17Networks_LH_DefaultB_Temp_6,-52.0,-22.0,-6.0,DefaultB,L,cortical
17Networks_LH_DefaultB_IPL_1,-45.0,-58.0,21.0,DefaultB,L,cortical
17Networks_LH_DefaultB_IPL_2,-57.0,-55.0,30.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCd_1,-4.0,51.0,28.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCd_2,-14.0,58.0,31.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCd_3,-22.0,51.0,31.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCd_4,-8.0,43.0,51.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCd_5,-13.0,24.0,61.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCd_6,-6.0,10.0,65.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCl_1,-41.0,19.0,48.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCl_2,-42.0,7.0,48.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCv_1,-36.0,22.0,-16.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCv_2,-36.0,37.0,-13.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCv_3,-46.0,32.0,-10.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCv_4,-48.0,28.0,0.0,DefaultB,L,cortical
17Networks_LH_DefaultB_PFCv_5,-53.0,19.0,11.0,DefaultB,L,cortical
17Networks_LH_DefaultC_IPL_1,-40.0,-79.0,30.0,DefaultC,L,cortical
17Networks_LH_DefaultC_Rsp_1,-13.0,-49.0,4.0,DefaultC,L,cortical
17Networks_LH_DefaultC_Rsp_2,-8.0,-52.0,9.0,DefaultC,L,cortical
17Networks_LH_DefaultC_Rsp_3,-13.0,-61.0,19.0,DefaultC,L,cortical
17Networks_LH_DefaultC_PHC_1,-21.0,-21.0,-26.0,DefaultC,L,cortical
17Networks_LH_DefaultC_PHC_2,-30.0,-33.0,-18.0,DefaultC,L,cortical
17Networks_LH_DefaultC_PHC_3,-18.0,-37.0,-12.0,DefaultC,L,cortical
17Networks_LH_TempPar_1,-53.0,6.0,-11.0,TempPar,L,cortical
17Networks_LH_TempPar_2,-61.0,-13.0,-3.0,TempPar,L,cortical
17Networks_LH_TempPar_3,-62.0,-32.0,5.0,TempPar,L,cortical
17Networks_LH_TempPar_4,-52.0,-43.0,5.0,TempPar,L,cortical
17Networks_LH_TempPar_5,-57.0,-54.0,10.0,TempPar,L,cortical
17Networks_LH_TempPar_6,-59.0,-49.0,16.0,TempPar,L,cortical
17Networks_RH_VisCent_ExStr_1,36.0,-53.0,-17.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_2,37.0,-73.0,-16.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_3,23.0,-74.0,-11.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_4,20.0,-88.0,-13.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_5,42.0,-84.0,-12.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_6,25.0,-97.0,-10.0,VisCent,R,cortical
17Networks_RH_VisCent_Striate_1,8.0,-92.0,-2.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_7,35.0,-89.0,2.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_8,24.0,-99.0,7.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_9,43.0,-79.0,10.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_10,13.0,-94.0,19.0,VisCent,R,cortical
17Networks_RH_VisCent_ExStr_11,27.0,-87.0,21.0,VisCent,R,cortical
17Networks_RH_VisPeri_ExStrInf_1,26.0,-52.0,-9.0,VisPeri,R,cortical
17Networks_RH_VisPeri_ExStrInf_2,18.0,-36.0,-12.0,VisPeri,R,cortical
