region,x,y,z,network,hemisphere,structure
Seitzman_0,-49.77,-34.36,25.74,Auditory,L,cortical
Seitzman_1,-38.43,-33.34,16.98,Auditory,L,cortical
Seitzman_2,65.43,-33.2,19.97,Auditory,R,cortical
Seitzman_3,31.75,-26.33,12.91,Auditory,R,cortical
Seitzman_4,-49.14,-26.3,5.18,Auditory,L,cortical
Seitzman_5,-60.48,-25.22,13.82,Auditory,L,cortical
Seitzman_6,43.45,-22.93,19.85,Auditory,R,cortical
Seitzman_7,-52.92,-21.83,22.97,Auditory,L,cortical
Seitzman_8,59.4,-17.34,28.69,Auditory,R,cortical
Seitzman_9,57.88,-15.62,7.49,Auditory,R,cortical
Seitzman_10,-55.22,-9.42,11.73,Auditory,L,cortical
Seitzman_11,55.96,-5.03,13.25,Auditory,R,cortical
Seitzman_12,43.5,-60.0,-30.0,CinguloOpercular,R,cerebellum
Seitzman_13,-43.5,-60.0,-30.0,CinguloOpercular,L,cerebellum
Seitzman_14,-34.0,-42.0,-44.0,CinguloOpercular,L,cerebellum
Seitzman_15,-30.12,-27.02,12.2,CinguloOpercular,L,cortical
Seitzman_16,-15.39,-14.24,12.19,CinguloOpercular,L,subcortical
Seitzman_17,12.9,-13.94,11.55,CinguloOpercular,R,subcortical
Seitzman_18,-9.35,-10.17,0.2,CinguloOpercular,L,subcortical
Seitzman_19,9.56,-7.84,1.76,CinguloOpercular,R,subcortical
Seitzman_20,-16.14,-4.82,70.83,CinguloOpercular,L,cortical
Seitzman_21,-10.48,-2.1,42.02,CinguloOpercular,L,cortical
Seitzman_22,13.21,-1.36,69.98,CinguloOpercular,R,cortical
Seitzman_23,42.05,-0.39,47.1,CinguloOpercular,R,cortical
Seitzman_24,-44.76,0.1,8.83,CinguloOpercular,L,cortical
Seitzman_25,36.73,0.78,-3.57,CinguloOpercular,R,cortical
Seitzman_26,-2.88,2.38,53.21,CinguloOpercular,L,cortical
Seitzman_27,-34.37,3.29,4.19,CinguloOpercular,L,cortical
Seitzman_28,6.52,7.69,50.58,CinguloOpercular,R,cortical
Seitzman_29,-51.26,8.26,-2.06,CinguloOpercular,L,cortical
Seitzman_30,49.4,8.32,-1.12,CinguloOpercular,R,cortical
Seitzman_31,35.83,10.32,1.18,CinguloOpercular,R,cortical
Seitzman_32,-5.33,17.8,34.41,CinguloOpercular,L,cortical
Seitzman_33,35.91,21.91,2.62,CinguloOpercular,R,cortical
Seitzman_34,36.89,32.35,-2.24,CinguloOpercular,R,cortical
Seitzman_35,31.24,32.79,26.39,CinguloOpercular,R,cortical
Seitzman_36,-39.12,50.79,17.38,CinguloOpercular,L,cortical
Seitzman_37,31.07,55.71,14.49,CinguloOpercular,R,cortical
Seitzman_38,32.0,-81.0,-38.0,DefaultMode,R,cerebellum
Seitzman_39,-32.0,-78.0,-38.0,DefaultMode,L,cerebellum
Seitzman_40,-24.0,-76.0,-28.0,DefaultMode,L,cerebellum
Seitzman_41,24.0,-76.0,-28.01,DefaultMode,R,cerebellum
Seitzman_42,-40.5,-75.27,25.8,DefaultMode,L,cortical
Seitzman_43,-39.05,-74.95,43.72,DefaultMode,L,cortical
Seitzman_44,43.43,-72.21,28.0,DefaultMode,R,cortical
Seitzman_45,-44.45,-64.64,34.78,DefaultMode,L,cortical
Seitzman_46,15.12,-63.09,25.98,DefaultMode,R,cortical
Seitzman_47,-45.79,-60.69,20.85,DefaultMode,L,cortical
Seitzman_48,52.04,-59.37,35.52,DefaultMode,R,cortical
Seitzman_49,5.91,-58.82,35.45,DefaultMode,R,cortical
Seitzman_50,-11.29,-56.2,15.6,DefaultMode,L,cortical
Seitzman_51,-6.84,-54.9,27.05,DefaultMode,L,cortical
Seitzman_52,10.77,-53.83,17.09,DefaultMode,R,cortical
Seitzman_53,-5.72,-50.8,-40.84,DefaultMode,L,cerebellum
Seitzman_54,46.68,-50.08,28.76,DefaultMode,R,cortical
Seitzman_55,8.0,-50.0,-40.0,DefaultMode,R,cerebellum
Seitzman_56,-2.94,-48.79,12.87,DefaultMode,L,cortical
Seitzman_57,7.94,-48.37,30.57,DefaultMode,R,cortical
Seitzman_58,-49.3,-42.15,0.83,DefaultMode,L,cortical
Seitzman_59,-68.3,-41.41,-5.14,DefaultMode,L,cortical
Seitzman_60,-12.6,-39.64,0.93,DefaultMode,L,cortical
Seitzman_61,-25.24,-38.78,-2.01,DefaultMode,L,subcortical
Seitzman_62,-33.93,-38.06,-15.6,DefaultMode,L,cortical
Seitzman_63,25.08,-37.18,-2.16,DefaultMode,R,subcortical
Seitzman_64,-2.2,-36.68,43.85,DefaultMode,L,cortical
Seitzman_65,64.8,-30.55,-8.7,DefaultMode,R,cortical
Seitzman_66,-57.75,-29.7,-3.94,DefaultMode,L,cortical
Seitzman_67,-68.47,-22.66,-15.74,DefaultMode,L,cortical
Seitzman_68,-55.72,-12.96,-10.24,DefaultMode,L,cortical
Seitzman_69,64.64,-11.8,-19.3,DefaultMode,R,cortical
Seitzman_70,-2.88,-9.96,8.5,DefaultMode,L,subcortical
Seitzman_71,3.42,-7.79,8.23,DefaultMode,R,subcortical
Seitzman_72,52.16,-2.43,-16.4,DefaultMode,R,cortical
Seitzman_73,-52.89,2.55,-27.06,DefaultMode,L,cortical
Seitzman_74,51.9,6.81,-29.61,DefaultMode,R,cortical
Seitzman_75,-43.58,11.99,-34.15,DefaultMode,L,cortical
Seitzman_76,45.64,16.2,-30.02,DefaultMode,R,cortical
Seitzman_77,-13.28,17.24,7.14,DefaultMode,L,subcortical
Seitzman_78,11.87,17.51,6.57,DefaultMode,R,subcortical
Seitzman_79,-35.36,19.86,50.8,DefaultMode,L,cortical
Seitzman_80,-16.4,28.52,53.05,DefaultMode,L,cortical
Seitzman_81,13.08,29.99,58.65,DefaultMode,R,cortical
Seitzman_82,-46.17,31.26,-13.03,DefaultMode,L,cortical
Seitzman_83,23.33,33.07,47.68,DefaultMode,R,cortical
Seitzman_84,49.26,35.47,-12.2,DefaultMode,R,cortical
Seitzman_85,12.25,35.63,20.3,DefaultMode,R,cortical
Seitzman_86,-2.06,37.85,36.34,DefaultMode,L,cortical
Seitzman_87,-10.09,39.09,52.29,DefaultMode,L,cortical
Seitzman_88,22.11,39.21,38.9,DefaultMode,R,cortical
Seitzman_89,-2.5,41.7,16.05,DefaultMode,L,cortical
Seitzman_90,7.51,42.49,-5.35,DefaultMode,R,cortical
Seitzman_91,-3.06,44.41,-9.46,DefaultMode,L,cortical
Seitzman_92,-11.06,44.62,7.61,DefaultMode,L,cortical
Seitzman_93,-19.78,45.07,39.48,DefaultMode,L,cortical
Seitzman_94,8.36,47.59,-15.18,DefaultMode,R,cortical
Seitzman_95,-7.55,48.08,23.18,DefaultMode,L,cortical
Seitzman_96,-7.04,50.82,-1.29,DefaultMode,L,cortical
Seitzman_97,8.8,54.23,3.45,DefaultMode,R,cortical
